datetime,Mean CH - layer 2 (Principal Aquifer (Outside Corcoran))
5/1/1982,120.5016316
6/1/1982,120.5010678
7/1/1982,120.5008427
8/1/1982,120.5007629
9/1/1982,120.5007629
10/1/1982,120.5007629
11/1/1982,120.5007629
12/1/1982,120.5007629
1/1/1983,120.5007629
2/1/1983,120.5007629
3/1/1983,120.5007629
4/1/1983,120.5007629
5/1/1983,120.5007629
6/1/1983,120.5007629
7/1/1983,120.5007629
8/1/1983,120.5007629
9/1/1983,120.5007629
10/1/1983,120.5007629
11/1/1983,120.5007629
12/1/1983,120.5007629
1/1/1984,120.5007629
2/1/1984,120.5007629
3/1/1984,120.5007629
4/1/1984,120.5007629
5/1/1984,120.5007629
6/1/1984,120.5007629
7/1/1984,120.5007629
8/1/1984,120.5007629
9/1/1984,120.5007629
10/1/1984,120.5007629
11/1/1984,120.5007629
12/1/1984,120.5007629
1/1/1985,120.5007629
2/1/1985,120.5007629
3/1/1985,120.5007629
4/1/1985,120.5007629
5/1/1985,120.5007629
6/1/1985,120.5007629
7/1/1985,120.5007629
8/1/1985,120.5007629
9/1/1985,120.5007629
10/1/1985,120.4952427
11/1/1985,120.4855775
12/1/1985,120.4542007
1/1/1986,120.4518783
2/1/1986,120.4458492
3/1/1986,120.4455651
4/1/1986,120.4474325
5/1/1986,120.4474325
6/1/1986,120.4518279
7/1/1986,120.4512455
8/1/1986,120.4508006
9/1/1986,120.454416
10/1/1986,120.4529782
11/1/1986,120.4458689
12/1/1986,120.4444378
1/1/1987,120.4431442
2/1/1987,120.442179
3/1/1987,120.441695
4/1/1987,120.4414738
5/1/1987,120.4414069
6/1/1987,120.4414069
7/1/1987,120.4414069
8/1/1987,120.441391
9/1/1987,120.4250915
10/1/1987,120.4176645
11/1/1987,120.1776825
12/1/1987,119.7918982
1/1/1988,119.6850017
2/1/1988,119.5716631
3/1/1988,119.513843
4/1/1988,119.4724815
5/1/1988,119.4544278
6/1/1988,119.412906
7/1/1988,119.3374769
8/1/1988,118.7668007
9/1/1988,116.5895476
10/1/1988,114.022214
11/1/1988,110.4512163
12/1/1988,108.2868801
1/1/1989,107.3316022
2/1/1989,106.7384324
3/1/1989,106.4393645
4/1/1989,106.2794298
5/1/1989,106.1576953
6/1/1989,106.020035
7/1/1989,105.8120571
8/1/1989,105.2628545
9/1/1989,102.5733864
10/1/1989,99.27720385
11/1/1989,95.02492986
12/1/1989,91.94769512
1/1/1990,90.2509531
2/1/1990,88.92430111
3/1/1990,88.05547926
4/1/1990,87.27260692
5/1/1990,86.65399444
6/1/1990,86.15545341
7/1/1990,85.76143724
8/1/1990,85.45278346
9/1/1990,85.20791179
10/1/1990,85.03229896
11/1/1990,84.86645207
12/1/1990,84.73931573
1/1/1991,84.61369633
2/1/1991,84.48115178
3/1/1991,84.39174738
4/1/1991,84.30039682
5/1/1991,84.24800083
6/1/1991,84.20028756
7/1/1991,84.16344781
8/1/1991,84.12714622
9/1/1991,84.08494226
10/1/1991,84.03348324
11/1/1991,83.93961748
12/1/1991,82.91819104
1/1/1992,81.84708345
2/1/1992,80.56846117
