datetime,Mean CH - layer 3 (Lower Semi-Confined Aquifer)
7/1/1967,126.1726253
8/1/1967,126.0171333
9/1/1967,125.8945485
10/1/1967,125.7800349
11/1/1967,125.6832639
12/1/1967,125.5991119
1/1/1968,125.4925268
2/1/1968,125.3995409
3/1/1968,125.3330893
4/1/1968,125.2685784
5/1/1968,125.190544
6/1/1968,125.1335953
7/1/1968,125.0739395
8/1/1968,125.0191083
9/1/1968,124.9557371
10/1/1968,124.8861205
11/1/1968,124.8389975
12/1/1968,124.7849468
1/1/1969,124.7329592
2/1/1969,124.6693902
3/1/1969,124.6136613
4/1/1969,124.5556622
5/1/1969,124.5084922
6/1/1969,124.459989
7/1/1969,124.4074196
8/1/1969,124.362683
9/1/1969,124.3157903
10/1/1969,124.2753269
11/1/1969,124.2177148
12/1/1969,124.1637023
1/1/1970,124.0915302
2/1/1970,124.056812
3/1/1970,124.0266624
4/1/1970,123.9868809
5/1/1970,123.9559578
6/1/1970,123.918807
7/1/1970,123.8917147
8/1/1970,123.8622515
9/1/1970,123.8478085
10/1/1970,123.8074926
11/1/1970,123.3621301
12/1/1970,121.992819
1/1/1971,120.6608322
2/1/1971,120.5075535
3/1/1971,120.4690657
4/1/1971,120.4378782
5/1/1971,120.4106881
6/1/1971,120.3698466
7/1/1971,120.330716
8/1/1971,120.2827669
9/1/1971,120.237776
10/1/1971,120.2023212
11/1/1971,120.0836797
12/1/1971,118.6624239
1/1/1972,116.8706131
2/1/1972,116.3897897
3/1/1972,116.2147206
4/1/1972,116.0915692
5/1/1972,116.00966
6/1/1972,115.9220944
7/1/1972,115.8063984
8/1/1972,114.2655231
9/1/1972,110.8363753
10/1/1972,106.9984643
11/1/1972,102.8739093
12/1/1972,99.97055516
1/1/1973,99.07417276
2/1/1973,98.5761833
3/1/1973,98.269233
4/1/1973,98.06589329
5/1/1973,97.92361222
6/1/1973,97.79350271
7/1/1973,97.67780539
8/1/1973,97.57715861
9/1/1973,97.44066512
10/1/1973,97.28800865
11/1/1973,97.09075071
12/1/1973,96.86992119
1/1/1974,96.55270503
2/1/1974,96.24179902
3/1/1974,96.0350685
4/1/1974,95.85516387
5/1/1974,95.70554104
