datetime,layer 3 (Lower Aquifer)
06/01/2002,-174.7809982
07/01/2002,-174.7809982
08/01/2002,-174.7809982
09/01/2002,-174.7809982
10/01/2002,-174.7809982
11/01/2002,-174.7809982
12/01/2002,-174.7809982
01/01/2003,-174.7809982
02/01/2003,-174.7809982
03/01/2003,-174.7809982
04/01/2003,-174.7809982
05/01/2003,-174.7809982
06/01/2003,-174.7809982
07/01/2003,-174.7809982
08/01/2003,-174.7809982
09/01/2003,-174.7809982
10/01/2003,-174.7809982
11/01/2003,-174.7809982
12/01/2003,-174.7809982
01/01/2004,-174.7809982
02/01/2004,-174.7809982
03/01/2004,-174.7809982
04/01/2004,-174.7809982
05/01/2004,-174.7809982
06/01/2004,-174.7809982
07/01/2004,-174.7809982
08/01/2004,-174.7809982
09/01/2004,-174.7809982
10/01/2004,-174.7809982
11/01/2004,-174.7809982
12/01/2004,-174.7809982
01/01/2005,-174.7809982
02/01/2005,-174.7809982
03/01/2005,-174.7809982
04/01/2005,-174.7809982
05/01/2005,-174.7809982
06/01/2005,-174.7809982
07/01/2005,-174.7809982
08/01/2005,-174.7809982
09/01/2005,-174.7809982
10/01/2005,-174.7809982
11/01/2005,-174.7809982
12/01/2005,-174.7809982
01/01/2006,-174.7809982
02/01/2006,-174.7809982
03/01/2006,-174.7809982
04/01/2006,-174.7809982
05/01/2006,-174.7809982
06/01/2006,-174.7809982
07/01/2006,-174.7809982
08/01/2006,-174.7809982
09/01/2006,-174.7809982
10/01/2006,-174.7809982
11/01/2006,-174.7809982
12/01/2006,-174.7809982
01/01/2007,-174.7809982
02/01/2007,-174.7809982
03/01/2007,-174.7809982
04/01/2007,-174.7809982
05/01/2007,-174.7809982
06/01/2007,-174.7809982
07/01/2007,-174.7809982
08/01/2007,-174.7809982
09/01/2007,-174.7809982
10/01/2007,-174.7809982
11/01/2007,-174.7809982
12/01/2007,-174.7809982
01/01/2008,-174.7809982
02/01/2008,-174.7809982
03/01/2008,-174.7809982
04/01/2008,-174.7809982
05/01/2008,-174.7809982
06/01/2008,-174.7809982
07/01/2008,-174.7809982
08/01/2008,-174.7809982
09/01/2008,-174.7809982
10/01/2008,-174.7809982
11/01/2008,-174.7809982
12/01/2008,-174.7809982
01/01/2009,-174.7809982
02/01/2009,-174.7809982
03/01/2009,-174.7809982
04/01/2009,-174.7809982
05/01/2009,-174.7809982
06/01/2009,-174.7809982
07/01/2009,-174.7809982
08/01/2009,-174.7809982
09/01/2009,-174.7809982
10/01/2009,-174.7809982
11/01/2009,-174.7809982
12/01/2009,-174.7809982
01/01/2010,-174.7809982
02/01/2010,-174.7809982
03/01/2010,-174.7809982
04/01/2010,-174.7809982
05/01/2010,-174.7809982
06/01/2010,-174.7809982
07/01/2010,-174.7809982
08/01/2010,-174.7809982
09/01/2010,-174.7809982
10/01/2010,-174.7809982
11/01/2010,-174.7809982
12/01/2010,-174.7809982
01/01/2011,-174.7809982
02/01/2011,-174.7809982
03/01/2011,-174.7809982
04/01/2011,-174.7809982
05/01/2011,-174.7809982
06/01/2011,-174.7809982
07/01/2011,-174.7809982
08/01/2011,-174.7809982
09/01/2011,-174.7809982
10/01/2011,-174.7809982
11/01/2011,-174.7809982
12/01/2011,-174.7809982
01/01/2012,-174.7809982
02/01/2012,-174.7809982
03/01/2012,-174.7809982
04/01/2012,-174.7809982
05/01/2012,-174.7809982
06/01/2012,-174.7809982
