Aquifer,Upper,Lower,Upper,Lower,Upper,Lower,Upper,Lower,Upper,Lower,Upper,Lower,Upper,Lower,,,,
Scenario,No SGMA,,Historical lows,,MT (glidepath not below MT),,MT (glidepath 50% below MT),,No pumping (current level),,Injection (rebound @2020-23 rate),,Optimization,,,,,
Date,WL_alt,WL_alt,WL_alt,WL_alt,WL_alt,WL_alt,WL_alt,WL_alt,WL_alt,WL_alt,WL_alt,WL_alt,WL_alt,WL_alt,,,,
2034-01-01 00:00:00,108.1042776,-70.03695349,108.1042776,-6.838666667,86.49,28.27,,,,,220.67,194.1366667,,,,,,
2034-02-01 00:00:00,107.8205726,-70.78644049,107.89,-6.838666667,86.49,28.27,,,,,220.67,194.1366667,,,,,,
2034-03-01 00:00:00,107.5368675,-71.5359275,107.89,-6.838666667,86.49,28.27,,,,,220.67,194.1366667,,,,,,
2034-04-01 00:00:00,107.2531625,-72.2854145,107.89,-6.838666667,86.49,28.27,,,,,220.67,194.1366667,,,,,,
2034-05-01 00:00:00,106.9694574,-73.0349015,107.89,-6.838666667,86.49,28.27,,,,,220.67,194.1366667,,,,,,
2034-06-01 00:00:00,106.6857523,-73.78438851,107.89,-6.838666667,86.49,28.27,,,,,220.67,194.1366667,,,,,,
2034-07-01 00:00:00,106.4020473,-74.53387551,107.89,-6.838666667,86.49,28.27,,,,,220.67,194.1366667,,,,,,
2034-08-01 00:00:00,106.1183422,-75.28336252,107.89,-6.838666667,86.49,28.27,,,,,220.67,194.1366667,,,,,,
2034-09-01 00:00:00,105.8346372,-76.03284952,107.89,-6.838666667,86.49,28.27,,,,,220.67,194.1366667,,,,,,
2034-10-01 00:00:00,105.5509321,-76.78233653,107.89,-6.838666667,86.49,28.27,,,,,220.67,194.1366667,,,,,,
2034-11-01 00:00:00,105.267227,-77.53182353,107.89,-6.838666667,86.49,28.27,,,,,220.67,194.1366667,,,,,,
2034-12-01 00:00:00,104.983522,-78.28131053,107.89,-6.838666667,86.49,28.27,,,,,220.67,194.1366667,,,,,,
2035-01-01 00:00:00,104.6998169,-79.03079754,107.89,-6.838666667,86.49,28.27,,,,,220.67,194.1366667,,,,,,
2035-02-01 00:00:00,104.4161119,-79.78028454,107.89,-6.838666667,86.49,28.27,,,,,220.67,194.1366667,,,,,,
2035-03-01 00:00:00,104.1324068,-80.52977155,107.89,-6.838666667,86.49,28.27,,,,,220.67,194.1366667,,,,,,
2035-04-01 00:00:00,103.8487017,-81.27925855,107.89,-6.838666667,86.49,28.27,,,,,220.67,194.1366667,,,,,,
2035-05-01 00:00:00,103.5649967,-82.02874555,107.89,-6.838666667,86.49,28.27,,,,,220.67,194.1366667,,,,,,
2035-06-01 00:00:00,103.2812916,-82.77823256,107.89,-6.838666667,86.49,28.27,,,,,220.67,194.1366667,,,,,,
2035-07-01 00:00:00,102.9975866,-83.52771956,107.89,-6.838666667,86.49,28.27,,,,,220.67,194.1366667,,,,,,
2035-08-01 00:00:00,102.7138815,-84.27720657,107.89,-6.838666667,86.49,28.27,,,,,220.67,194.1366667,,,,,,
2035-09-01 00:00:00,102.4301764,-85.02669357,107.89,-6.838666667,86.49,28.27,,,,,220.67,194.1366667,,,,,,
2035-10-01 00:00:00,102.1464714,-85.77618057,107.89,-6.838666667,86.49,28.27,,,,,220.67,194.1366667,,,,,,
2035-11-01 00:00:00,101.8627663,-86.52566758,107.89,-6.838666667,86.49,28.27,,,,,220.67,194.1366667,,,,,,
