datetime,Mean CH  - layer 2 (Principal Aquifer (Outside Corcoran))
3/1/1951,183.3572784
4/1/1951,183.3572784
5/1/1951,183.3572784
6/1/1951,183.3572784
7/1/1951,183.3572784
8/1/1951,183.3572784
9/1/1951,183.3572784
10/1/1951,183.3572784
11/1/1951,183.3572784
12/1/1951,183.3572784
1/1/1952,183.3572784
2/1/1952,183.3572784
3/1/1952,183.3572784
4/1/1952,183.3572784
5/1/1952,183.3572784
6/1/1952,183.3572784
7/1/1952,183.3572784
8/1/1952,183.3572784
9/1/1952,183.3572784
10/1/1952,183.3572784
11/1/1952,183.3572784
12/1/1952,183.3572784
1/1/1953,183.3572784
2/1/1953,183.3572784
3/1/1953,183.3572784
4/1/1953,183.3572784
5/1/1953,183.3572784
6/1/1953,183.3572784
7/1/1953,183.3572784
8/1/1953,183.3572784
9/1/1953,183.3572784
10/1/1953,183.3572784
11/1/1953,183.3572784
12/1/1953,183.3572784
1/1/1954,183.3572784
2/1/1954,183.3572784
3/1/1954,183.3572784
4/1/1954,183.3572784
5/1/1954,183.3527321
6/1/1954,183.3527321
7/1/1954,183.3527321
8/1/1954,183.3527321
9/1/1954,183.3527321
10/1/1954,183.3527321
11/1/1954,183.3527321
12/1/1954,183.3527321
1/1/1955,183.3527321
2/1/1955,183.3527321
3/1/1955,183.3527321
4/1/1955,183.3527321
5/1/1955,183.3527321
6/1/1955,183.3527321
7/1/1955,183.3527321
8/1/1955,183.3527321
9/1/1955,183.3527321
10/1/1955,183.3527321
11/1/1955,183.3527321
12/1/1955,183.3527321
1/1/1956,183.3527321
2/1/1956,183.3527321
3/1/1956,183.3527321
4/1/1956,183.3527321
5/1/1956,183.3527321
6/1/1956,183.3527321
7/1/1956,183.3527321
8/1/1956,183.3527321
9/1/1956,183.3527321
10/1/1956,183.3527321
11/1/1956,183.3527321
12/1/1956,183.3527321
1/1/1957,183.3527321
2/1/1957,183.3527321
3/1/1957,183.3527321
4/1/1957,183.3527321
5/1/1957,183.3527321
6/1/1957,183.3527321
7/1/1957,183.3527321
8/1/1957,183.3527321
9/1/1957,183.3527321
10/1/1957,183.3527321
11/1/1957,183.3527321
12/1/1957,183.3527321
1/1/1958,183.3527321
2/1/1958,183.3527321
3/1/1958,183.3527321
4/1/1958,183.3527321
5/1/1958,183.3527321
6/1/1958,183.3527321
7/1/1958,183.3527321
8/1/1958,183.3527321
9/1/1958,183.3527321
10/1/1958,183.3527321
11/1/1958,183.3527321
12/1/1958,183.3527321
1/1/1959,183.3527321
2/1/1959,183.3527321
3/1/1959,183.3527321
4/1/1959,183.3527321
5/1/1959,183.3527321
6/1/1959,183.3527321
7/1/1959,183.3527321
8/1/1959,183.3527321
9/1/1959,183.3527321
10/1/1959,183.3527321
11/1/1959,183.3527321
12/1/1959,183.3527321
1/1/1960,183.3527321
2/1/1960,183.3527321
3/1/1960,183.3527321
4/1/1960,183.3527321
5/1/1960,183.3527321
6/1/1960,183.3527321
7/1/1960,183.3527321
8/1/1960,183.3527321
9/1/1960,183.3527321
10/1/1960,183.3527321
11/1/1960,183.3527321
12/1/1960,183.3527321
1/1/1961,183.3527321
2/1/1961,183.3527321
3/1/1961,183.3527321
4/1/1961,183.3527321
5/1/1961,183.3527321
6/1/1961,183.3527321
7/1/1961,183.3527321
8/1/1961,183.3527321
9/1/1961,183.3527321
10/1/1961,183.3527321
11/1/1961,183.3527321
12/1/1961,183.3527321
1/1/1962,183.3527321
2/1/1962,183.3527321
3/1/1962,183.3527321
4/1/1962,183.3527321
5/1/1962,183.3527321
6/1/1962,183.3527321
7/1/1962,183.3527321
8/1/1962,183.3527321
9/1/1962,183.3527321
10/1/1962,183.3527321
11/1/1962,183.3527321
12/1/1962,183.3527321
1/1/1963,183.3527321
2/1/1963,183.3527321
3/1/1963,183.3527321
4/1/1963,183.3527321
5/1/1963,183.3527321
6/1/1963,183.3527321
7/1/1963,183.3527321
8/1/1963,183.3527321
9/1/1963,183.3527321
10/1/1963,183.3527321
11/1/1963,183.3527321
12/1/1963,183.3527321
1/1/1964,183.3527321
2/1/1964,183.3527321
3/1/1964,183.3527321
4/1/1964,183.3527321
5/1/1964,183.3527321
6/1/1964,183.3527321
7/1/1964,183.3527321
8/1/1964,183.3527321
9/1/1964,183.3527321
10/1/1964,183.3527321
11/1/1964,183.3527321
12/1/1964,183.3527321
1/1/1965,183.3527321
2/1/1965,183.3527321
3/1/1965,183.3527321
4/1/1965,183.3527321
5/1/1965,183.3527321
6/1/1965,183.3527321
7/1/1965,183.3527321
8/1/1965,183.3527321
9/1/1965,183.3527321
10/1/1965,183.3527321
11/1/1965,183.3527321
12/1/1965,183.3527321
1/1/1966,183.3527321
2/1/1966,183.3527321
3/1/1966,183.3527321
4/1/1966,183.3527321
5/1/1966,183.3527321
6/1/1966,183.3527321
7/1/1966,183.3527321
8/1/1966,183.3527321
9/1/1966,183.3527321
10/1/1966,183.3527321
11/1/1966,183.3527321
12/1/1966,183.3527321
1/1/1967,183.3527321
2/1/1967,183.3527321
3/1/1967,183.3527321
4/1/1967,183.3527321
5/1/1967,183.3527321
6/1/1967,183.3527321
7/1/1967,183.3527321
8/1/1967,183.3520372
9/1/1967,183.3435805
10/1/1967,183.3317658
11/1/1967,183.3222188
12/1/1967,183.3210439
1/1/1968,183.3109361
2/1/1968,183.3128334
3/1/1968,183.312195
4/1/1968,183.311698
5/1/1968,183.3112008
6/1/1968,183.3107154
7/1/1968,183.3044771
8/1/1968,183.2988242
9/1/1968,183.297997
10/1/1968,183.2972881
11/1/1968,183.306854
12/1/1968,183.2966562
1/1/1969,183.3947954
2/1/1969,183.3016246
3/1/1969,183.2731457
4/1/1969,183.2749308
5/1/1969,183.2554372
6/1/1969,183.2500709
7/1/1969,183.2387304
8/1/1969,183.2559298
9/1/1969,183.101038
10/1/1969,182.5326555
11/1/1969,182.4250109
12/1/1969,182.3869086
1/1/1970,182.3718345
2/1/1970,182.349037
3/1/1970,182.3299387
4/1/1970,182.3147484
5/1/1970,182.2995553
6/1/1970,182.284051
7/1/1970,182.2688058
8/1/1970,182.2464224
9/1/1970,182.2302913
10/1/1970,182.2091396
11/1/1970,182.1723012
12/1/1970,181.6106592
1/1/1971,181.5155496
2/1/1971,181.4786931
3/1/1971,181.4523956
4/1/1971,181.4387541
5/1/1971,181.4094786
6/1/1971,181.3880537
7/1/1971,181.3621906
8/1/1971,181.3376425
9/1/1971,181.3231999
10/1/1971,181.2802691
11/1/1971,179.1832345
12/1/1971,178.8017777
1/1/1972,178.5856319
2/1/1972,178.498672
3/1/1972,178.4583622
4/1/1972,178.4267596
5/1/1972,178.3922127
6/1/1972,178.3591043
7/1/1972,178.3318496
8/1/1972,178.2695354
9/1/1972,178.0957512
10/1/1972,177.2760278
11/1/1972,176.6489153
12/1/1972,174.8240755
1/1/1973,173.1078809
2/1/1973,172.7481768
3/1/1973,172.4008457
4/1/1973,171.1833313
5/1/1973,170.8714154
6/1/1973,170.7385199
7/1/1973,170.6455032
8/1/1973,170.4963183
9/1/1973,170.2217149
10/1/1973,170.1268828
11/1/1973,170.0468121
12/1/1973,169.9766583
1/1/1974,169.913577
2/1/1974,169.8469937
3/1/1974,169.7876898
4/1/1974,169.7278278
5/1/1974,169.6629607
6/1/1974,169.5953972
7/1/1974,169.5368612
8/1/1974,169.481874
9/1/1974,169.428325
10/1/1974,169.3745046
11/1/1974,169.3204596
12/1/1974,169.269126
1/1/1975,169.2212632
2/1/1975,169.1712997
3/1/1975,169.1271802
4/1/1975,169.079523
5/1/1975,169.0342199
6/1/1975,168.8045009
7/1/1975,166.7863012
8/1/1975,165.0854982
9/1/1975,164.2718414
10/1/1975,163.8365645
11/1/1975,163.5829476
12/1/1975,163.3905827
1/1/1976,163.2119174
2/1/1976,163.147577
3/1/1976,163.0938703
4/1/1976,163.0435498
5/1/1976,162.9905998
6/1/1976,162.9375678
